DATE,Target WL,BRWL1,LaRWL1,LRWL1,WTDWL2,C1RS,C1RS1,C1RS2,C1RS3,C1RS7,C1RS14,C1RSF,C2RS,C2RS1,C2RS2,C2RS3,C2RS7,C2RS14,C2RSF,C3RS,C3RS1,C3RS2,C3RS3,C3RS7,C3RS14,C3RSF
01-01-2008,23.95714286,6.7170625,100.225,,246.2526667,0,0,0.053394881,0.046108073,0,0.469861713,0,0,0,0,1.244802992,1.209958444,0.029673012,0,0,0,0,0.119422293,0,0.593018037,0
02-01-2008,22.81785714,5.316634921,100.5583333,7.8,246.181,0,0.059925251,0.205127921,4.435959327,9.688324348,8.483542685,0,0,0.245976246,2.528671915,8.100186279,7.482079076,7.808828223,0,0,0,0.168930493,15.65147622,12.0857702,9.532963974,0
03-01-2008,21.07676056,3.890350877,107.7608696,7.4,246.136,0.1,0.16032002,15.35947031,12.45414806,4.412484245,0,4,0.3,1.656944935,0.537816986,6.6852687,4.99073981,1.809660181,6,0,0.227914633,5.024605778,10.65415594,3.012263545,0.985086927,0
04-01-2008,20.83313253,4.086040541,107.3333333,,246.0885,0.2,5.687511424,4.512456619,4.020394491,3.4218957,4.454494895,6,2.8,6.323495798,3.619166044,3.966297409,4.436247592,11.13812484,6,0.3,4.380131191,5.905834118,2.074785077,7.950360561,6.899695839,6
05-01-2008,25.89075145,5.325809524,110.2914286,12.96666667,,12,7.029506387,2.938469633,0.224716954,0.166682391,5.954467561,6,7.5,5.165959948,3.81936314,0.953017746,0.358825844,2.165985323,6,14,6.247707419,2.141133971,0.20783182,0,0,6
06-01-2008,24.61688312,5.455637931,112.17,9.55,246.091,4,3.465845886,0,3.579426478,0.375255214,0.340005025,6,4.1,4.311602261,2.811358951,7.627485374,6.911182188,1.890420076,6,2.5,2.073195317,1.121704836,0.02958536,6.793242082,6.518366021,6
07-01-2008,25.0474359,5.639057143,112.034,10.81818182,246.1543333,1.2,0.502202252,5.839190584,0,0.234474992,4.926500016,6,3.3,0,4.84816689,9.964277175,0.99926664,0.529439142,6,1.6,1.933712102,5.645534095,0,1.372867881,0,6
08-01-2008,24.99411765,6.400958333,113.8217391,,246.2685,0,15.74571004,0,2.009203047,0,0,6,0,4.849944048,10.9490361,2.597900916,2.814151499,0.577355622,0,0,1.530315735,9.326964084,7.144177014,8.316981577,0.983415363,6
09-01-2008,27.9557377,6.932630769,115.6518519,13.08571429,246.3885,9.9,12.75261712,2.542239964,4.665408258,9.348431076,10.52683638,6,10.3,1.862991971,2.573520958,0,6.911152894,0,6,10.5,0,0,8.419418723,7.038977361,8.57816384,6
10-01-2008,29.3953125,9.014628205,118.08,9.6,246.561,0,2.062930742,0.595708929,0,2.582628365,2.056765575,6,0,0,4.649422979,0.254514277,5.314800782,7.097644026,0,0,1.198859005,1.002291519,0,2.311858855,2.68022502,0
11-01-2008,32.72651934,11.41261905,125.5230769,12.95,246.606,4.9,0,0.162502029,1.111352456,3.084223597,6.020742161,6,4.8,5.81852953,0.052793554,0,6.203038874,14.86093465,6,6.9,2.639214242,1.974018818,4.237248724,3.60322675,6.33826015,6
12-01-2008,35.93529412,13.29816667,128.5157895,10.56,246.616,0.2,0.075172017,0,0.300010766,5.931104259,0.854124182,6,0.3,0,0.72490208,1.455361751,16.10855259,9.945350354,6,1.5,0.41984355,2.476879012,2.589463257,0,0,6
13-01-2008,33.68726115,12.15157143,128.6714286,9,246.554,0,1.241248111,0.700937716,6.196752712,4.605814332,2.00889361,0,0,0.140522179,1.240542184,0,11.94515071,2.403288116,0,0,0,2.487951016,1.606300056,6.859971293,2.24480053,0
14-01-2008,30.48730159,9.711048387,121.3347826,12,246.544,1.3,0.716613919,6.986985657,6.664031874,12.64319199,14.34222275,6,1.2,1.273680176,2.693386983,7.564247868,18.99730986,7.838348306,6,2.7,2.805499408,4.628145969,5.604606298,15.35571516,8.617050573,6
15-01-2008,30.90880829,9.983975207,122.7387097,10.78333333,246.5293333,0.4,6.970994546,5.423282527,6.101753859,0.135468726,0,6,1.5,2.577089548,7.771480301,5.245815536,1.969898041,0,6,1.6,2.746904913,5.517189711,5.4666355,2.270215123,0.044112504,6
16-01-2008,31.11271676,9.888526882,121.675,10.8,246.51,7.4,6.606050668,6.133516737,11.32000972,9.087163322,1.937582282,4,7.5,7.733288208,11.21600001,22.42066784,6.114254321,0.650996162,6,7.2,6.501030541,4.945902718,8.747899281,18.38625884,2.47314263,6
17-01-2008,31.71049724,10.26848529,122.5178571,12.3375,246.499,4.8,6.154022869,9.126322713,2.626031843,2.643914796,2.405293025,6,7.8,8.29929898,19.24654109,16.80052432,9.524278129,8.772098269,6,4.9,7.005232332,15.46821256,8.629444093,3.234543688,6.079560892,6
18-01-2008,36.47920792,10.73338776,123.2333333,14.48571429,246.499,5.9,7.754212389,10.75195476,5.867544088,7.627481925,4.183087744,6,12.5,17.30004249,12.29692256,16.69074184,2.619188727,19.00546779,6,6.7,18.87001009,15.46955326,16.56112213,24.16766251,1.207650548,6
19-01-2008,66.47729469,27.29745299,146.4702703,16.31111111,246.5685,9.3,4.908584104,10.44660508,5.315818147,0,0.592641867,6,22.8,21.26165447,12.45385536,0,0,0,6,17.4,13.11252268,8.300024051,4.823241902,0.167973884,0.644045065,6
20-01-2008,122.4008547,47.83173494,,16.44444444,246.8246364,2.1,8.99201586,7.598742713,0.081203323,0.035555822,0,6,13,13.4948299,15.26594723,0,0,0.372824084,6,6,18.52507864,3.760027508,0.020748777,0,0,6
21-01-2008,120.0590551,47.95951807,,18.03333333,246.936,9.8,2.70213182,0.004683857,3.211503728,3.599256866,1.011786269,6,17.2,4.752703084,0,3.07765773,2.256637272,0.997550785,6,15.1,6.385427605,0.037157865,0.251323643,0.607486511,0,6
22-01-2008,132.2405303,53.19579503,203.55,17.1,247.1370769,0,0,2.43941665,0.053196321,0,1.05940999,6,0,0,8.435069837,1.180672717,0,6.025171786,0,0.1,0.077752473,2.100949545,3.940352556,0,0.096092916,6
23-01-2008,108.5180672,42.92982482,172.3288889,,246.9145714,0.1,2.923258284,0.745111933,0,0.23249726,3.833692383,6,0,2.173963067,3.54597405,0,0,2.805158308,0,0,0.709640358,0.665528177,0,3.803680328,4.588567712,0
24-01-2008,79.91380753,31.53446457,163.6603448,12.15,246.6195714,2.5,2.794098413,0,0,3.570631093,0,4,4.8,3.05044377,0,0.094282757,11.14145368,2.241820524,6,2.5,0.010977984,0.178548441,0.194702295,4.367741658,7.150005492,6
25-01-2008,52.58542714,18.15328302,142.6333333,,246.5114286,0,0,0,0,0,0.902839952,0,0,0,0.152667297,0.450097539,7.572977164,7.347874287,0,0,0.10999989,0.107495399,0,0,3.360647518,0
