DATE,Target WL,BRWL1,LaRWL1,LRWL1,WTDWL2,C1RS,C1RS1,C1RS2,C1RS3,C1RS7,C1RS14,C1RSF,C2RS,C2RS1,C2RS2,C2RS3,C2RS7,C2RS14,C2RSF,C3RS,C3RS1,C3RS2,C3RS3,C3RS7,C3RS14,C3RSF
2010-01-01,84.92258065,20.70249648,117.2123377,9.5,246.4665714,0.3,2.216983964,2.809388592,0.118107085,0.144912865,0.080635575,7,1.1,8.428906683,12.83846147,0.0,0.046003383,0.1,7,0.7,7.679192087,3.029076563,0.217122033,0.99218189,0.0,7
2010-01-02,71.04861111,15.11574126,117.2123377,7.3,246.2993333,6.3,4.119856957,0.138676068,0.1,1.494332506,4.217362989,8,9.0,7.865956549,0.018159132,0.0,0.0,5.937091794,7,5.8,8.262196796,0.135959266,0.0,5.544644581,3.50221484,7
2010-01-03,57.48064516,11.14224823,117.2123377,7.3,246.2776667,0.2,0.172228057,0.1,1.324406441,1.080249388,10.43678173,7,0.1,0.0,0.0,1.813915912,1.705465994,0.0,7,0.2,0.09125404,0.0,0.238248708,0.756801958,3.020567539,7
2010-01-04,52.04603175,10.187172,117.2123377,6.6,246.241,0.1,0.1,0.298556071,0.0,0.232412951,2.78992252,7,0.0,0.0,1.036891825,2.370839076,1.894281695,3.191169274,0,0.0,0.0,0.235536342,0.458456596,0.597183052,2.181716392,7
2010-01-05,40.79393939,7.289062937,117.2123377,6.6,246.241,0.1,0.46304206,0.69255459,0.108252775,0.033477573,0.036471665,7,0.0,0.0,1.744594196,0.067634866,0.133827504,0.0,0,0.0,1.284341782,0.676833081,0.014221113,0.078738089,0.266983046,0
2010-01-06,37.42833333,6.742199301,117.2123377,6.6,246.226,1.4,1.395166739,0.072437042,0.0,0.287606322,0.006764157,7,2.0,0.212366228,0.0,0.807912384,0.128233963,0.0,7,0.9,0.665661492,0.046077849,0.0,4.124676288,0.0,7
2010-01-07,36.47164179,6.211351064,117.2123377,5.9,246.235,0.0,0.0,0.930080091,0.213412016,0.21670256,0.0,0,0.0,0.043193101,0.24378752,0.0,0.114072581,0.0,0,0.0,0.542801902,5.735769013,1.719419075,0.27916613,0.0,0
2010-01-08,31.51617647,4.949395105,117.2123377,5.9,246.2543333,0.2,0.527618855,1.237860918,2.354998164,1.488786766,0.0,7,0.1,0.08005666,0.180958329,2.062342392,0.688492116,0.009780124,7,0.6,3.399996998,3.092795397,0.695361176,0.593351623,0.0,7
2010-01-09,30.07777778,4.844003623,117.2123377,5.9,246.2543333,1.8,0.143705327,1.134529989,0.496050121,0.0,0.992504553,7,0.6,0.565171219,1.632730124,2.585433287,4.775221163,4.732790119,7,4.6,0.0,0.484400441,1.079497623,4.19705493,1.158588076,7
2010-01-10,28.91964286,5.159799283,116.2820144,5.9,246.201,0.2,0.442349221,0.0,0.081313444,10.53131589,5.951217818,7,0.1,0.430899446,0.86190496,0.0,0.958296189,7.423362338,7,0.5,0.373185269,0.287100555,0.0,5.059549273,4.115894788,7
