phenomenon time,result
2011-12-31T23:00:00Z,217.72
2012-01-01T06:39:30Z,217.72
2012-01-01T06:46:55Z,217.73
2012-01-01T06:54:30Z,217.72
2012-01-01T10:52:30Z,217.72
2012-01-01T10:58:05Z,217.71
2012-01-01T11:05:30Z,217.711
2012-01-01T11:07:30Z,217.71
2012-01-01T15:22:30Z,217.71
2012-01-01T15:52:30Z,217.73
2012-01-01T16:07:30Z,217.72
2012-01-01T23:07:30Z,217.72
2012-01-01T23:08:05Z,217.71
2012-01-01T23:15:30Z,217.72
2012-01-02T00:52:30Z,217.72
2012-01-02T01:07:30Z,217.73
2012-01-02T02:07:30Z,217.73
2012-01-02T02:22:30Z,217.72
2012-01-02T07:37:30Z,217.72
2012-01-02T08:07:30Z,217.74
2012-01-02T08:22:30Z,217.72
2012-01-02T08:52:30Z,217.74
2012-01-02T15:52:30Z,217.74
2012-01-02T15:59:30Z,217.749
2012-01-02T16:06:55Z,217.77
2012-01-02T16:07:30Z,217.76
2012-01-02T16:22:30Z,217.77
2012-01-03T07:37:30Z,217.77
2012-01-03T07:52:30Z,217.78
2012-01-03T09:59:30Z,217.78
2012-01-03T10:06:55Z,217.79
2012-01-03T10:07:30Z,217.78
2012-01-03T10:22:30Z,217.77
2012-01-03T10:37:30Z,217.77
2012-01-03T10:52:30Z,217.78
2012-01-03T11:52:30Z,217.78
2012-01-03T12:07:30Z,217.77
2012-01-03T12:22:30Z,217.78
2012-01-03T12:52:30Z,217.78
2012-01-03T13:07:30Z,217.74
2012-01-03T13:15:05Z,217.72
2012-01-03T13:22:30Z,217.73
2012-01-03T16:37:30Z,217.73
2012-01-03T16:52:30Z,217.74
2012-01-03T17:22:30Z,217.74
2012-01-03T17:37:30Z,217.73
2012-01-03T18:37:30Z,217.73
2012-01-03T18:52:30Z,217.74
2012-01-03T19:22:30Z,217.74
2012-01-03T19:37:30Z,217.73
2012-01-04T06:07:30Z,217.73
2012-01-04T06:37:30Z,217.71
2012-01-04T06:52:30Z,217.71
2012-01-04T07:00:05Z,217.7
2012-01-04T07:07:30Z,217.71
2012-01-04T08:22:30Z,217.71
2012-01-04T08:37:30Z,217.7
2012-01-05T00:38:30Z,217.7
2012-01-05T00:46:05Z,217.69
2012-01-05T00:53:30Z,217.7
2012-01-05T01:37:30Z,217.7
2012-01-05T01:52:30Z,217.71
2012-01-05T03:07:30Z,217.71
2012-01-05T03:22:30Z,217.72
2012-01-05T03:52:30Z,217.72
2012-01-05T04:07:30Z,217.71
2012-01-05T07:22:30Z,217.71
2012-01-05T07:37:30Z,217.73
2012-01-05T07:52:30Z,217.74
2012-01-05T08:52:30Z,217.74
2012-01-05T09:07:30Z,217.73
2012-01-05T10:52:30Z,217.73
2012-01-05T11:07:30Z,217.72
2012-01-05T11:22:30Z,217.73
2012-01-05T11:52:30Z,217.73
2012-01-05T12:07:30Z,217.75
2012-01-05T12:22:30Z,217.75
2012-01-05T12:37:30Z,217.76
2012-01-05T16:40:30Z,217.76
2012-01-05T16:47:55Z,217.77
2012-01-05T16:55:30Z,217.76
2012-01-05T18:37:30Z,217.76
2012-01-05T18:52:30Z,217.75
2012-01-05T19:07:30Z,217.76
2012-01-05T21:22:30Z,217.76
2012-01-05T21:37:30Z,217.75
2012-01-05T21:52:30Z,217.75
2012-01-05T22:07:30Z,217.76
2012-01-05T22:22:30Z,217.75
2012-01-05T22:37:30Z,217.76
2012-01-05T23:22:30Z,217.76
2012-01-05T23:37:30Z,217.75
2012-01-06T01:07:30Z,217.75
2012-01-06T01:22:30Z,217.76
2012-01-06T01:37:30Z,217.76
2012-01-06T01:52:30Z,217.75
2012-01-06T02:07:30Z,217.75
2012-01-06T02:22:30Z,217.76
2012-01-06T02:37:30Z,217.75
2012-01-06T02:52:30Z,217.76
2012-01-06T03:22:30Z,217.76
2012-01-06T03:37:30Z,217.75
2012-01-06T05:07:30Z,217.75
2012-01-06T05:22:30Z,217.76
2012-01-06T06:07:30Z,217.76
2012-01-06T06:22:30Z,217.75
2012-01-06T06:37:30Z,217.76
2012-01-06T07:07:30Z,217.76
2012-01-06T07:22:30Z,217.75
