phenomenon time,result
2006-10-31T23:00:00Z,
2010-10-31T23:00:00Z,
2014-10-31T23:00:00Z,268.912
2014-11-01T06:00:00Z,268.9
2014-11-02T06:00:00Z,268.87
2014-11-03T06:00:00Z,268.87
2014-11-04T06:00:00Z,268.85
2014-11-05T06:00:00Z,268.86
2014-11-06T06:00:00Z,268.86
2014-11-07T06:00:00Z,268.88
2014-11-08T06:00:00Z,268.89
2014-11-09T06:00:00Z,268.89
2014-11-10T06:00:00Z,268.88
2014-11-11T06:00:00Z,268.86
2014-11-12T06:00:00Z,268.85
2014-11-13T06:00:00Z,268.83
2014-11-14T06:00:00Z,268.8
2014-11-15T06:00:00Z,268.78
2014-11-16T06:00:00Z,268.77
2014-11-17T06:00:00Z,268.75
2014-11-18T06:00:00Z,268.74
2014-11-19T06:00:00Z,268.72
2014-11-20T06:00:00Z,268.71
2014-11-22T06:00:00Z,268.67
2014-11-23T06:00:00Z,268.69
2014-11-24T06:00:00Z,268.73
2014-11-26T06:00:00Z,268.77
2014-11-27T06:00:00Z,268.8
2014-11-28T06:00:00Z,268.81
2014-11-29T06:00:00Z,268.83
2014-12-01T06:00:00Z,268.85
2014-12-02T06:00:00Z,268.86
2014-12-03T06:00:00Z,268.87
2014-12-04T06:00:00Z,268.89
2014-12-05T06:00:00Z,268.89
2014-12-06T06:00:00Z,268.9
2014-12-07T06:00:00Z,268.92
2014-12-09T06:00:00Z,268.96
2014-12-10T06:00:00Z,268.98
2014-12-11T06:00:00Z,268.99
2014-12-12T06:00:00Z,268.91
2014-12-13T06:00:00Z,268.99
2014-12-14T06:00:00Z,269.15
2014-12-15T06:00:00Z,269.28
2014-12-16T06:00:00Z,269.36
2014-12-17T06:00:00Z,269.43
2014-12-18T06:00:00Z,269.52
2014-12-19T06:00:00Z,269.64
2014-12-20T06:00:00Z,270.0
2014-12-21T06:00:00Z,270.28
2014-12-22T06:00:00Z,270.45
2014-12-23T06:00:00Z,270.56
2014-12-24T06:00:00Z,270.65
2014-12-25T06:00:00Z,270.79
2014-12-26T06:00:00Z,270.95
2014-12-27T06:00:00Z,271.05
2014-12-28T06:00:00Z,271.12
2014-12-29T06:00:00Z,271.14
2014-12-30T06:00:00Z,271.15
2014-12-31T06:00:00Z,271.15
2015-01-01T06:00:00Z,271.16
2015-01-02T06:00:00Z,271.18
2015-01-03T06:00:00Z,271.18
2015-01-04T06:00:00Z,271.24
2015-01-05T06:00:00Z,271.27
2015-01-06T06:00:00Z,271.29
2015-01-07T06:00:00Z,271.34
2015-01-08T06:00:00Z,271.38
2015-01-09T06:00:00Z,271.54
2015-01-10T06:00:00Z,271.56
2015-01-11T06:00:00Z,271.54
2015-01-12T06:00:00Z,271.55
2015-01-13T06:00:00Z,271.51
2015-01-14T06:00:00Z,271.49
2015-01-16T06:00:00Z,271.43
2015-01-17T06:00:00Z,271.41
2015-01-19T06:00:00Z,271.35
2015-01-20T06:00:00Z,271.38
2015-01-21T06:00:00Z,271.42
2015-01-22T06:00:00Z,271.45
2015-01-23T06:00:00Z,271.47
2015-01-24T06:00:00Z,271.45
2015-01-25T06:00:00Z,271.46
2015-01-26T06:00:00Z,271.44
2015-01-27T06:00:00Z,271.41
2015-01-28T06:00:00Z,271.39
2015-01-29T06:00:00Z,271.4
2015-01-30T06:00:00Z,271.43
2015-01-31T06:00:00Z,271.39
2015-02-01T06:00:00Z,271.35
2015-02-03T06:00:00Z,271.29
2015-02-04T06:00:00Z,271.24
2015-02-05T06:00:00Z,271.19
2015-02-06T06:00:00Z,271.13
2015-02-07T06:00:00Z,271.05
2015-02-08T06:00:00Z,271.0
2015-02-09T06:00:00Z,270.91
2015-02-10T06:00:00Z,270.84
2015-02-11T06:00:00Z,270.78
2015-02-12T06:00:00Z,270.74
2015-02-13T06:00:00Z,270.69
2015-02-14T06:00:00Z,270.74
2015-02-15T06:00:00Z,270.76
2015-02-16T06:00:00Z,270.77
2015-02-17T06:00:00Z,270.78
2015-02-18T06:00:00Z,270.78
2015-02-19T06:00:00Z,270.79
2015-02-20T06:00:00Z,270.8
2015-02-21T06:00:00Z,270.83
2015-02-22T06:00:00Z,270.85
2015-02-23T06:00:00Z,270.88
2015-02-24T06:00:00Z,270.9
2015-02-25T06:00:00Z,270.94
2015-02-26T06:00:00Z,271.0
2015-02-27T06:00:00Z,271.07
2015-02-28T06:00:00Z,271.17
2015-03-01T06:00:00Z,271.25
2015-03-02T06:00:00Z,271.35
2015-03-03T06:00:00Z,271.42
2015-03-04T06:00:00Z,271.48
2015-03-05T06:00:00Z,271.51
2015-03-06T06:00:00Z,271.5
2015-03-08T06:00:00Z,271.5
2015-03-09T06:00:00Z,271.46
2015-03-10T06:00:00Z,271.41
2015-03-11T06:00:00Z,271.36
2015-03-12T06:00:00Z,271.3
2015-03-13T06:00:00Z,271.23
2015-03-16T06:00:00Z,271.23
2015-03-17T06:00:00Z,271.24
2015-03-19T06:00:00Z,271.26
2015-03-20T06:00:00Z,271.25
2015-03-22T06:00:00Z,271.25
2015-03-23T06:00:00Z,271.26
2015-03-24T06:00:00Z,271.26
2015-03-25T06:00:00Z,271.21
2015-03-26T06:00:00Z,271.19
2015-03-27T06:00:00Z,271.19
2015-03-28T06:00:00Z,271.2
2015-03-29T06:00:00Z,271.21
2015-03-30T06:00:00Z,271.29
2015-03-31T06:00:00Z,271.39
2015-04-01T06:00:00Z,271.55
2015-04-04T06:00:00Z,271.55
2015-04-05T06:00:00Z,271.53
2015-04-06T06:00:00Z,271.53
2015-04-07T06:00:00Z,271.52
2015-04-09T06:00:00Z,271.52
2015-04-10T06:00:00Z,271.51
2015-04-15T06:00:00Z,271.51
2015-04-16T06:00:00Z,271.49
2015-04-17T06:00:00Z,271.53
2015-04-18T06:00:00Z,271.5
2015-04-19T06:00:00Z,271.48
2015-04-20T06:00:00Z,271.45
2015-04-21T06:00:00Z,271.44
2015-04-22T06:00:00Z,271.34
2015-04-23T06:00:00Z,271.34
2015-04-24T06:00:00Z,271.35
2015-04-25T06:00:00Z,271.36
2015-04-26T06:00:00Z,271.36
2015-04-27T06:00:00Z,271.39
2015-04-28T06:00:00Z,271.4
2015-04-29T06:00:00Z,271.41
2015-04-30T06:00:00Z,271.41
2015-05-01T06:00:00Z,271.43
2015-05-02T06:00:00Z,271.43
2015-05-03T06:00:00Z,271.44
2015-05-04T06:00:00Z,271.47
2015-05-05T06:00:00Z,271.48
2015-05-06T06:00:00Z,271.49
2015-05-07T06:00:00Z,271.5
2015-05-14T06:00:00Z,271.5
2015-05-15T06:00:00Z,271.51
2015-05-19T06:00:00Z,271.51
2015-05-20T06:00:00Z,271.5
2015-05-24T06:00:00Z,271.5
2015-05-25T06:00:00Z,271.51
2015-05-26T06:00:00Z,271.5
2015-05-27T06:00:00Z,271.51
2015-05-28T06:00:00Z,271.51
2015-05-29T06:00:00Z,271.5
2015-05-30T06:00:00Z,271.51
2015-06-03T06:00:00Z,271.51
2015-06-04T06:00:00Z,271.41
2015-06-05T06:00:00Z,271.38
2015-06-06T06:00:00Z,271.34
2015-06-07T06:00:00Z,271.29
2015-06-09T06:00:00Z,271.21
2015-06-10T06:00:00Z,271.16
2015-06-12T06:00:00Z,271.08
2015-06-13T06:00:00Z,271.04
2015-06-14T06:00:00Z,271.01
2015-06-15T06:00:00Z,270.96
2015-06-16T06:00:00Z,270.92
2015-06-18T06:00:00Z,270.84
2015-06-19T06:00:00Z,270.79
2015-06-20T06:00:00Z,270.75
2015-06-23T06:00:00Z,270.66
2015-06-24T06:00:00Z,270.64
2015-06-25T06:00:00Z,270.59
2015-06-26T06:00:00Z,270.55
2015-06-27T06:00:00Z,270.5
2015-06-28T06:00:00Z,270.47
2015-06-29T06:00:00Z,270.43
2015-06-30T06:00:00Z,270.4
2015-07-01T06:00:00Z,270.35
2015-07-02T06:00:00Z,270.29
2015-07-03T06:00:00Z,270.25
2015-07-04T06:00:00Z,270.2
2015-07-05T06:00:00Z,270.17
2015-07-08T06:00:00Z,270.05
2015-07-09T06:00:00Z,270.03
2015-07-10T06:00:00Z,269.99
2015-07-11T06:00:00Z,269.95
2015-07-12T06:00:00Z,269.9
2015-07-13T06:00:00Z,269.85
2015-07-14T06:00:00Z,269.83
2015-07-15T06:00:00Z,269.81
2015-07-16T06:00:00Z,269.77
2015-07-17T06:00:00Z,269.73
2015-07-18T06:00:00Z,269.68
2015-07-20T06:00:00Z,269.62
2015-07-21T06:00:00Z,269.58
2015-07-22T06:00:00Z,269.54
2015-07-23T06:00:00Z,269.49
2015-07-24T06:00:00Z,269.45
2015-07-25T06:00:00Z,269.4
2015-07-26T06:00:00Z,269.38
2015-07-27T06:00:00Z,269.34
2015-07-28T06:00:00Z,269.29
2015-07-29T06:00:00Z,269.25
2015-07-30T06:00:00Z,269.22
2015-07-31T06:00:00Z,269.15
2015-08-01T06:00:00Z,269.1
2015-08-02T06:00:00Z,269.05
2015-08-03T06:00:00Z,269.01
2015-08-04T06:00:00Z,268.98
2015-08-05T06:00:00Z,268.94
2015-08-06T06:00:00Z,268.89
2015-08-07T06:00:00Z,268.84
2015-08-08T06:00:00Z,268.8
2015-08-09T06:00:00Z,268.75
2015-08-10T06:00:00Z,268.71
