phenomenon time,result
2006-10-31T23:00:00Z,1.641
2006-11-01T06:00:00Z,1.636
2006-11-02T06:00:00Z,1.618
2006-11-03T06:00:00Z,1.599
2006-11-04T06:00:00Z,1.595
2006-11-07T06:00:00Z,1.595
2006-11-08T06:00:00Z,1.599
2006-11-09T06:00:00Z,1.617
2006-11-10T06:00:00Z,1.64
2006-11-11T06:00:00Z,1.646
2006-11-12T06:00:00Z,1.65
2006-11-13T06:00:00Z,1.656
2006-11-14T06:00:00Z,1.659
2006-11-15T06:00:00Z,1.681
2006-11-16T06:00:00Z,1.711
2006-11-17T06:00:00Z,1.736
2006-11-18T06:00:00Z,1.779
2006-11-19T06:00:00Z,1.789
2006-11-20T06:00:00Z,1.794
2006-11-21T06:00:00Z,1.808
2006-11-22T06:00:00Z,1.842
2006-11-23T06:00:00Z,1.883
2006-11-24T06:00:00Z,1.918
2006-11-25T06:00:00Z,1.966
2006-11-26T06:00:00Z,2.011
2006-11-27T06:00:00Z,2.064
2006-11-28T06:00:00Z,2.092
2006-11-29T06:00:00Z,2.13
2006-11-30T06:00:00Z,2.161
2006-12-01T06:00:00Z,2.188
2006-12-02T06:00:00Z,2.209
2006-12-03T06:00:00Z,2.229
2006-12-04T06:00:00Z,2.251
2006-12-05T06:00:00Z,2.274
2006-12-06T06:00:00Z,2.299
2006-12-07T06:00:00Z,2.326
2006-12-08T06:00:00Z,2.354
2006-12-09T06:00:00Z,2.377
2006-12-10T06:00:00Z,2.411
2006-12-11T06:00:00Z,2.453
2006-12-12T06:00:00Z,2.479
2006-12-13T06:00:00Z,2.508
2006-12-14T06:00:00Z,2.549
2006-12-15T06:00:00Z,2.562
2006-12-16T06:00:00Z,2.562
2006-12-17T06:00:00Z,2.557
2006-12-18T06:00:00Z,2.546
2006-12-19T06:00:00Z,2.535
2006-12-20T06:00:00Z,2.508
2006-12-21T06:00:00Z,2.498
2006-12-22T06:00:00Z,2.506
2006-12-23T06:00:00Z,2.511
2006-12-24T06:00:00Z,2.519
2006-12-25T06:00:00Z,2.53
2006-12-26T06:00:00Z,2.535
2006-12-27T06:00:00Z,2.54
2006-12-28T06:00:00Z,2.546
2006-12-29T06:00:00Z,2.549
2006-12-30T06:00:00Z,2.559
2006-12-31T06:00:00Z,2.562
2007-01-01T06:00:00Z,2.57
2007-01-02T06:00:00Z,2.57
2007-01-03T06:00:00Z,2.578
2007-01-04T06:00:00Z,2.565
2007-01-05T06:00:00Z,2.57
2007-01-06T06:00:00Z,2.578
2007-01-07T06:00:00Z,2.592
2007-01-08T06:00:00Z,2.63
2007-01-09T06:00:00Z,2.644
2007-01-10T06:00:00Z,2.617
2007-01-11T06:00:00Z,2.562
2007-01-12T06:00:00Z,2.546
