Station;Latitude;Longitude;ID;Phenomenon;Start;End;File-name
Beyenburg (Ablaufpegel);51.25031695;7.294208378;SBEY;water-level [cm];09.01.2012;23.02.2024;2024_02_23__SBEY__ABF__2024-02-27.CSV
Beyenburg (Ablaufpegel);51.25031695;7.294208378;SBEY;discharge [m3/s];01.01.2007;23.02.2024;2024_02_23__SBEY__WST__2024-02-27.CSV
Herbringhauser Talsperre H;51.22163986;7.271519545;SHT$ ;volume [hm3];01.11.2006;26.02.2024;2024_02_26__SHT$__SPI__2024-02-27.CSV
Herbringhauser Talsperre H;51.22163986;7.271519545;SHT$ ;fill-level [müNN];01.11.2014;26.02.2024;2024_02_26__SHT$__SPF__2024-02-27.CSV
Kluserbrücke;51.25560441;7.158556179;SKLU;water-level [cm];27.10.1934;23.02.2024;2024_02_23__SKLU__WST__2024-02-27.CSV
Kluserbrücke;51.25560441;7.158556179;SKLU;discharge [m3/s];27.10.1934;23.02.2024;2024_02_23__SKLU__ABF__2024-02-27.CSV
Krebsöge;51.20040289;7.299968717;SKRE;water-level [cm];24.01.2011;23.02.2024;2024_02_23__SKRE__WST__2024-02-27.CSV
Krebsöge;51.20040289;7.299968717;SKRE;discharge [m3/s];05.06.2001;23.02.2024;2024_02_23__SKRE__ABF__2024-02-27.CSV
Laaken;51.25486765;7.235787738;SLAA;water-level [cm];01.11.2003;23.02.2024;2024_02_23__SLAA__WST__2024-02-27.CSV
Laaken;51.25486765;7.235787738;SLAA;discharge [m3/s];01.11.1999;23.02.2024;2024_02_23__SLAA__ABF__2024-02-27.CSV
Leimbach;51.28109889;7.191461179;SLEI;water-level [cm];01.10.2007;23.02.2024;2024_02_23__SLEI__WST__2024-02-27.CSV
Leimbach;51.28109889;7.191461179;SLEI;discharge [m3/s];01.10.2007;23.02.2024;2024_02_23__SLEI__ABF__2024-02-27.CSV
Stauanlage Dahlhausen;51.21119068;7.307577666;SDAL;volume [hm3];01.01.2012;28.12.2023;2024_02_26__SDAL__SPI__2024-02-27.CSV
Stauanlage Dahlhausen;51.21119068;7.307577666;SDAL;fill-level [müNN];01.01.2012;28.12.2023;2024_02_26__SDAL__SPF__2024-02-27.CSV
(Stausee) Beyenburg;51.24918673;7.299492518;SBY$;volume [hm3];11.01.2012;26.02.2024;2024_02_26__SBY$__SPI__2024-02-27.CSV
(Stausee) Beyenburg;51.24918673;7.299492518;SBY$;fill-level [müNN];11.01.2012;26.02.2024;2024_02_26__SBY$__SPF__2024-02-27.CSV
Wupper-Talsperre;51.19849529;7.303739196;SWU$;volume [hm3];01.11.1990;26.02.2024;2024_02_26__SWU$__SPI__2024-02-27.CSV
Wupper-Talsperre;51.19849529;7.303739196;SWU$;fill-level [müNN];01.11.1990;26.02.2024;2024_02_26__SWU$__SPF__2024-02-27.CSV
